iter	Passed	Remaining
0	161	161832
1	165	82818
2	170	56531
3	174	43547
4	177	35414
5	180	29937
6	183	26045
7	186	23118
8	189	20873
9	192	19018
10	194	17507
11	197	16250
12	200	15209
13	203	14304
14	204	13458
15	207	12743
16	209	12098
17	211	11520
18	213	11004
19	215	10573
20	217	10136
21	218	9730
22	220	9369
23	222	9032
24	223	8728
25	225	8441
26	227	8182
27	228	7938
28	231	7735
29	232	7524
30	234	7337
31	236	7150
32	237	6971
33	239	6803
34	241	6656
35	243	6523
36	245	6394
37	247	6277
38	250	6162
39	251	6037
40	253	5925
41	255	5819
42	257	5720
43	259	5627
44	261	5540
45	263	5457
46	264	5367
47	266	5292
48	268	5217
49	270	5147
50	272	5068
51	274	4997
52	275	4927
53	277	4860
54	279	4802
55	281	4740
56	282	4681
57	285	4630
58	287	4579
59	288	4524
60	290	4476
61	292	4432
62	294	4379
63	296	4331
64	297	4282
65	299	4243
66	301	4197
67	302	4142
68	303	4098
69	305	4059
70	307	4021
71	308	3981
72	310	3942
73	312	3906
74	314	3873
75	315	3841
76	317	3807
77	319	3773
78	321	3742
79	322	3711
80	324	3684
81	326	3655
82	328	3627
83	330	3600
84	331	3570
85	333	3544
86	334	3513
87	336	3491
88	338	3467
89	340	3444
90	342	3421
91	344	3402
92	346	3380
93	348	3360
94	350	3340
95	352	3320
96	354	3302
97	356	3281
98	358	3259
99	360	3243
100	362	3223
101	363	3196
102	364	3176
103	366	3156
104	368	3139
105	369	3119
106	371	3101
107	373	3083
108	374	3064
109	376	3046
110	378	3031
111	380	3015
112	382	3000
113	384	2989
114	386	2976
115	389	2966
116	391	2953
117	392	2936
118	394	2920
119	396	2905
120	398	2891
121	399	2875
122	400	2855
123	402	2840
124	403	2823
125	404	2808
126	406	2796
127	408	2779
128	410	2769
129	411	2756
130	413	2742
131	415	2731
132	417	2720
133	418	2706
134	420	2692
135	421	2677
136	423	2668
137	425	2655
138	427	2644
139	428	2631
140	430	2620
141	431	2610
142	433	2600
143	435	2590
144	437	2579
145	439	2569
146	440	2558
147	442	2547
148	444	2538
149	446	2528
150	448	2518
151	450	2510
152	452	2502
153	453	2493
154	455	2483
155	457	2474
156	459	2464
157	460	2455
158	462	2446
159	463	2435
160	465	2427
161	467	2419
162	469	2409
163	470	2398
164	472	2389
165	474	2382
166	475	2373
167	477	2366
168	479	2358
169	481	2350
170	483	2344
171	485	2336
172	487	2331
173	490	2329
174	492	2323
175	494	2316
176	496	2310
177	498	2304
178	500	2295
179	502	2288
180	503	2277
181	505	2272
182	508	2268
183	509	2259
184	510	2251
185	512	2243
186	514	2235
187	516	2232
188	518	2225
189	520	2220
190	529	2241
191	531	2235
192	538	2253
193	542	2252
194	544	2247
195	546	2239
196	547	2232
197	549	2224
198	550	2216
199	551	2207
200	553	2199
201	554	2190
202	555	2182
203	557	2174
204	559	2168
205	560	2161
206	562	2154
207	563	2146
208	565	2140
209	567	2134
210	568	2127
211	570	2122
212	572	2116
213	575	2114
214	578	2112
215	581	2109
216	585	2113
217	587	2106
218	589	2101
219	590	2094
220	592	2087
221	594	2083
222	596	2077
223	598	2073
224	600	2068
225	602	2062
226	603	2056
227	605	2050
228	606	2043
229	608	2037
230	610	2031
231	611	2025
232	614	2022
233	615	2016
234	617	2010
235	618	2003
236	620	1996
237	621	1989
