iter	Passed	Remaining
0	141	141312
1	142	70884
2	142	47369
3	143	35668
4	143	28611
5	144	23907
6	144	20564
7	145	18070
8	146	16127
9	146	14543
10	147	13253
11	147	12183
12	148	11292
13	149	10521
14	150	9850
15	150	9266
16	151	8741
17	151	8277
18	152	7877
19	153	7526
20	154	7192
21	155	6900
22	156	6657
23	157	6392
24	157	6149
25	158	5927
26	158	5719
27	159	5533
28	159	5352
29	160	5189
30	161	5037
31	161	4888
32	162	4754
33	162	4623
34	163	4500
35	163	4386
36	164	4277
37	164	4173
38	165	4076
39	165	3982
40	166	3893
41	167	3820
42	168	3745
43	169	3673
44	169	3602
45	170	3532
46	170	3464
47	171	3399
48	171	3336
49	172	3275
50	172	3217
51	173	3161
52	174	3111
53	174	3059
54	175	3010
55	175	2961
56	176	2914
57	176	2868
58	177	2823
59	177	2781
60	178	2742
61	178	2703
62	179	2665
63	179	2628
64	180	2593
65	180	2557
66	181	2526
67	182	2494
68	182	2464
69	183	2436
70	184	2412
71	184	2383
72	185	2357
73	186	2330
74	186	2304
75	187	2277
76	187	2251
77	188	2226
78	188	2201
79	189	2177
80	189	2155
81	190	2133
82	190	2109
83	191	2088
84	191	2066
85	192	2046
86	193	2026
87	193	2006
88	194	1987
89	194	1968
90	195	1950
91	195	1933
92	196	1918
93	197	1901
94	197	1885
95	198	1870
96	199	1855
97	199	1840
98	200	1824
99	201	1810
100	201	1795
101	202	1780
102	202	1765
103	203	1751
104	203	1738
105	204	1724
106	205	1712
107	205	1699
108	206	1686
109	206	1673
110	207	1660
111	207	1648
112	208	1636
113	209	1624
114	209	1613
115	210	1601
116	210	1589
117	211	1578
118	211	1568
119	212	1557
120	213	1548
121	213	1537
122	214	1526
123	214	1517
124	215	1508
125	216	1498
126	216	1487
127	217	1478
128	217	1469
129	218	1459
130	218	1450
131	219	1441
132	219	1432
133	220	1423
134	220	1414
135	221	1405
136	221	1397
137	222	1388
138	222	1380
139	223	1373
140	224	1366
141	224	1357
142	225	1350
143	225	1343
144	226	1336
145	227	1329
146	227	1322
147	228	1315
148	229	1308
149	229	1300
150	230	1293
151	230	1286
152	231	1280
153	231	1273
154	232	1266
155	232	1260
156	233	1254
157	234	1247
158	234	1241
159	235	1235
160	235	1228
161	236	1223
162	236	1216
163	237	1211
164	238	1205
165	238	1199
166	239	1194
167	239	1188
168	240	1182
169	241	1177
170	241	1173
171	242	1168
172	243	1163
173	243	1158
174	244	1152
175	245	1147
176	245	1142
177	246	1136
178	246	1131
179	247	1126
180	247	1121
181	248	1116
182	249	1111
183	249	1106
184	250	1101
185	250	1096
186	251	1092
187	251	1087
188	252	1083
189	253	1079
190	253	1075
191	254	1071
192	255	1066
193	255	1061
194	256	1057
195	256	1053
196	257	1049
197	258	1045
198	258	1041
199	259	1037
200	259	1033
201	260	1028
202	261	1024
203	261	1020
204	262	1017
205	262	1013
206	263	1008
207	263	1005
208	264	1001
209	265	997
210	265	993
211	266	989
212	266	986
213	267	982
214	268	979
215	268	975
216	269	972
217	270	968
218	270	964
219	271	961
220	271	958
221	272	955
222	273	952
223	273	949
224	274	945
225	275	942
226	275	939
227	276	935
228	277	932
229	277	929
230	278	926
231	278	922
232	279	919
233	280	916
234	280	913
235	281	910
236	281	907
237	282	904
238	283	901
239	283	898
240	284	895
241	284	892
242	285	889
243	286	886
244	286	883
245	287	881
246	288	879
247	289	876
248	289	873
249	290	870
250	290	867
251	291	864
252	291	862
253	292	859
254	293	856
255	293	854
256	294	851
257	295	849
258	296	847
259	296	845
260	297	842
261	298	840
262	299	838
263	299	836
264	300	833
265	301	831
266	302	829
267	303	827
268	303	825
269	304	822
270	305	820
271	305	818
272	306	816
273	307	814
274	308	812
275	308	809
276	309	807
277	309	804
278	310	802
279	311	800
280	311	798
281	312	795
282	313	793
283	314	791
284	314	789
285	315	787
286	316	785
287	317	784
288	318	782
289	318	780
290	319	778
291	320	776
292	320	774
293	321	772
294	322	770
295	323	769
296	324	767
297	325	765
298	325	763
299	326	761
300	326	759
301	327	757
302	328	755
303	329	754
304	330	752
305	330	750
306	331	748
307	332	747
308	333	745
309	334	744
310	335	742
311	336	741
312	337	740
313	338	738
314	338	737
315	339	735
316	340	733
317	341	731
318	341	729
319	342	727
320	342	725
321	343	723
322	344	721
323	344	719
324	345	717
325	346	716
326	347	715
327	348	714
328	349	712
329	350	711
330	350	709
331	351	707
332	352	705
333	352	703
334	353	701
335	354	699
336	354	698
337	355	696
338	356	694
339	357	693
340	357	691
341	358	689
342	359	687
343	359	686
344	360	684
345	361	683
346	362	682
347	363	680
348	364	679
349	364	677
350	365	675
351	366	674
352	366	672
353	367	670
354	368	668
355	368	667
356	369	665
357	370	663
358	370	662
359	371	660
360	372	659
361	373	657
362	373	655
363	374	654
364	375	652
365	376	651
366	377	650
367	378	649
368	378	647
369	379	646
370	380	644
371	381	643
372	381	641
373	382	640
374	383	638
375	384	637
376	384	635
377	385	634
378	386	632
379	387	631
380	387	630
381	388	628
382	389	627
383	389	625
384	390	624
385	391	623
386	392	622
387	393	620
388	394	619
389	394	617
390	395	616
391	396	614
392	397	613
393	397	612
394	398	610
395	399	609
396	400	608
397	401	606
398	401	605
399	402	603
400	403	602
401	404	601
402	404	599
403	405	598
404	406	597
405	407	596
406	408	595
407	409	593
408	409	592
409	410	590
410	411	589
411	411	587
412	412	586
413	413	584
414	414	583
415	414	582
416	415	580
417	416	579
418	416	577
419	417	576
420	418	575
421	418	573
422	419	572
423	420	570
424	420	569
425	421	568
426	422	567
427	423	565
428	424	564
429	424	563
430	425	561
431	426	560
432	426	558
433	427	557
434	427	555
435	428	554
436	429	553
437	429	551
438	430	550
439	431	548
440	431	547
441	432	545
442	433	544
443	433	543
444	434	541
445	434	540
446	435	538
447	436	537
448	436	536
449	437	534
450	438	533
451	439	532
452	439	530
453	440	529
454	440	528
455	441	526
456	442	525
457	442	524
458	443	522
459	444	521
460	444	519
461	445	518
462	446	517
463	446	516
464	447	514
465	448	513
466	448	512
467	449	510
468	449	509
469	450	507
470	451	506
471	451	505
472	452	504
473	453	502
474	453	501
475	454	500
476	454	498
477	455	497
478	456	496
479	456	494
480	457	493
481	457	492
482	458	490
483	459	489
484	459	488
485	460	487
486	461	485
487	461	484
488	462	483
489	462	481
490	463	480
491	464	479
492	464	478
493	465	476
494	466	475
495	466	474
496	467	472
497	467	471
498	468	470
499	469	469
500	469	467
501	470	466
502	471	465
503	471	464
504	472	463
505	473	461
506	473	460
507	474	459
508	474	458
509	475	456
510	476	455
511	476	454
512	477	453
513	478	452
514	478	450
515	479	449
516	479	448
517	480	447
518	481	445
519	481	444
520	482	443
521	483	442
522	483	441
523	484	440
524	485	438
525	485	437
526	486	436
527	487	435
528	488	434
529	489	433
530	489	432
531	490	431
532	491	430
533	491	429
534	492	427
535	492	426
536	493	425
537	494	424
538	494	423
539	495	421
540	495	420
541	496	419
542	497	418
543	498	417
544	498	416
545	499	415
546	500	414
547	500	413
548	501	411
549	502	410
550	502	409
551	503	408
552	504	407
553	505	406
554	505	405
555	506	404
556	507	403
557	507	402
558	508	401
559	509	400
560	510	399
561	510	398
562	511	397
563	512	395
564	513	394
565	513	394
566	514	392
567	515	391
568	515	390
569	516	389
570	517	388
571	517	387
572	518	386
573	520	386
574	522	385
575	523	385
576	523	384
577	524	382
578	525	381
579	525	380
580	526	379
581	527	378
582	527	377
583	529	376
584	529	375
585	530	374
586	531	373
587	532	372
588	532	371
589	533	370
590	534	369
591	535	368
592	536	367
593	537	367
594	539	367
595	540	366
596	541	365
597	542	364
598	543	363
599	544	362
600	544	361
601	545	360
602	546	359
603	547	358
604	548	357
605	549	356
606	549	356
607	550	355
608	551	354
609	552	353
610	553	352
611	554	351
612	555	350
613	555	349
614	556	348
615	558	348
616	559	347
617	560	346
618	562	346
619	563	345
620	563	344
621	564	343
622	565	342
623	566	341
624	567	340
625	567	339
626	568	338
627	569	337
628	570	336
629	571	335
630	571	334
631	573	334
632	574	333
633	575	332
634	576	331
635	577	330
636	578	329
637	579	328
638	579	327
639	580	326
640	581	325
641	581	324
642	582	323
643	583	322
644	584	321
645	585	320
646	585	319
647	586	318
648	587	317
649	589	317
650	589	316
651	590	315
652	591	314
653	592	313
654	593	312
655	593	311
656	594	310
657	595	309
658	596	308
659	596	307
660	597	306
661	598	305
662	598	304
663	599	303
664	600	302
665	600	301
666	601	300
667	602	299
668	602	298
669	604	297
670	605	296
671	606	295
672	606	294
673	607	293
674	608	292
675	609	291
676	609	290
677	610	289
678	611	288
679	611	287
680	612	286
681	613	285
682	613	284
683	614	283
684	615	282
685	615	281
686	616	280
687	617	279
688	619	279
689	620	278
690	621	277
691	621	276
692	622	275
693	623	274
694	623	273
695	624	272
696	625	271
697	625	270
698	626	269
699	626	268
700	627	267
701	628	266
702	628	265
703	629	264
704	630	263
705	630	262
706	631	261
707	632	260
708	633	259
709	634	259
710	635	258
711	635	257
712	636	256
713	637	255
714	638	254
715	638	253
716	639	252
717	640	251
718	640	250
719	641	249
720	642	248
721	643	247
722	643	246
723	644	245
724	644	244
725	645	243
726	646	242
727	646	241
728	647	240
729	649	240
730	650	239
731	650	238
732	651	237
733	652	236
734	652	235
735	653	234
736	654	233
737	654	232
738	655	231
739	656	230
740	656	229
741	657	228
742	658	227
743	658	226
744	659	225
745	660	224
746	660	223
747	661	222
748	661	221
749	662	220
750	663	220
751	665	219
752	665	218
753	666	217
754	667	216
